h3,base,pdmg,cems,lisa,product
88674308cbfffff,28,0,0.0,ns,IMPACT
88674308cdfffff,1,0,0.0,ns,IMPACT
88674308d1fffff,20,0,0.0,ns,IMPACT
88674308d5fffff,30,0,7.0,ns,IMPACT
88674308d9fffff,868,147,2.0,ns,IMPACT
88674308ddfffff,340,42,5.0,ns,IMPACT
8867430a81fffff,32,6,0.0,ns,IMPACT
8867430a83fffff,184,15,0.0,ns,IMPACT
8867430a85fffff,2,0,0.0,ns,IMPACT
8867430a91fffff,1051,69,0.0,ns,IMPACT
8867430a93fffff,399,31,0.0,ns,IMPACT
8867430a95fffff,373,10,2.0,ns,IMPACT
8867430a97fffff,1078,46,0.0,ns,IMPACT
8867430a99fffff,979,36,0.0,ns,IMPACT
8867430a9bfffff,773,23,0.0,ns,IMPACT
8867430a9dfffff,67,0,0.0,ns,IMPACT
8867430ab1fffff,1332,140,2.0,ns,IMPACT
8867430ab3fffff,1072,31,0.0,ns,IMPACT
8867430ab5fffff,124,0,1.0,ns,IMPACT
8867430ab7fffff,633,46,0.0,ns,IMPACT
8867430ab9fffff,1007,84,1.0,ns,IMPACT
8867430abbfffff,1062,116,1.0,ns,IMPACT
8867430abdfffff,127,0,0.0,ns,IMPACT
8867430ad3fffff,213,9,0.0,ns,IMPACT
8867430ad5fffff,37,20,4.0,ns,IMPACT
8867430ad7fffff,33,4,1.0,ns,IMPACT
8867430f41fffff,262,3,0.0,ns,IMPACT
8867430f43fffff,95,0,0.0,ns,IMPACT
8867430f45fffff,34,0,0.0,ns,IMPACT
8867430f47fffff,4,0,0.0,ns,IMPACT
8867430f49fffff,108,2,0.0,ns,IMPACT
8867430f4bfffff,143,0,0.0,ns,IMPACT
8867430f4dfffff,53,0,0.0,ns,IMPACT
8867430f5dfffff,5,0,0.0,ns,IMPACT
8867430f61fffff,4,0,0.0,ns,IMPACT
8867430f63fffff,1,0,0.0,ns,IMPACT
8867430f65fffff,1,0,0.0,ns,IMPACT
8867430f69fffff,13,0,0.0,ns,IMPACT
8867430f6bfffff,22,0,0.0,ns,IMPACT
8867430f6dfffff,155,0,0.0,ns,IMPACT
8867434123fffff,1,0,0.0,ns,IMPACT
8867434195fffff,416,21,0.0,ns,IMPACT
88674341a9fffff,7,0,0.0,ns,IMPACT
88674341b1fffff,2,0,0.0,ns,IMPACT
88674341b5fffff,5,0,0.0,ns,IMPACT
88674341b7fffff,2,0,0.0,ns,IMPACT
88674341b9fffff,1,0,0.0,ns,IMPACT
88674341bbfffff,8,0,0.0,ns,IMPACT
88674341e1fffff,11,0,0.0,ns,IMPACT
88674341e7fffff,2,0,0.0,ns,IMPACT
88674341e9fffff,2,0,0.0,ns,IMPACT
88674341edfffff,4,0,0.0,ns,IMPACT
8867434511fffff,5,0,0.0,ns,IMPACT
8867434513fffff,266,0,0.0,ns,IMPACT
8867434517fffff,109,0,0.0,ns,IMPACT
8867434527fffff,5,0,0.0,ns,IMPACT
8867434531fffff,69,0,0.0,ns,IMPACT
8867434535fffff,14,0,0.0,ns,IMPACT
8867434539fffff,7,0,0.0,ns,IMPACT
886743453bfffff,193,0,0.0,ns,IMPACT
88674345e9fffff,8,0,0.0,ns,IMPACT
88674345edfffff,4,0,0.0,ns,IMPACT
8867434ac9fffff,4,0,0.0,ns,IMPACT
8867434c09fffff,41,6,0.0,ns,IMPACT
8867434c41fffff,9,0,0.0,ns,IMPACT
8867434c43fffff,113,0,0.0,ns,IMPACT
8867434c45fffff,6,0,0.0,ns,IMPACT
8867434c47fffff,99,5,0.0,ns,IMPACT
8867434c4bfffff,80,0,0.0,ns,IMPACT
8867434c4dfffff,7,0,0.0,ns,IMPACT
8867434c5dfffff,68,0,0.0,ns,IMPACT
8867434c61fffff,58,0,0.0,ns,IMPACT
8867434c63fffff,4,0,0.0,ns,IMPACT
8867434c69fffff,3,0,0.0,ns,IMPACT
8867434c6bfffff,52,0,0.0,ns,IMPACT
8867434c6dfffff,3,0,0.0,ns,IMPACT
8867434d49fffff,115,0,0.0,ns,IMPACT
8867434d4bfffff,215,0,0.0,ns,IMPACT
8867434d59fffff,1,0,0.0,ns,IMPACT
8867434d5dfffff,27,0,0.0,ns,IMPACT
8867434e13fffff,103,0,0.0,ns,IMPACT
8867434e15fffff,1,0,0.0,ns,IMPACT
8867434e17fffff,1,0,0.0,ns,IMPACT
8867434e1bfffff,2,0,0.0,ns,IMPACT
8867434e31fffff,6,0,0.0,ns,IMPACT
8867434e33fffff,105,0,0.0,ns,IMPACT
8867434e35fffff,3,0,0.0,ns,IMPACT
8867434e37fffff,46,0,0.0,ns,IMPACT
8867434e3bfffff,1,0,0.0,ns,IMPACT
8867434ec1fffff,88,0,0.0,ns,IMPACT
8867434ec5fffff,314,14,0.0,ns,IMPACT
8867434ec9fffff,129,0,0.0,ns,IMPACT
8867434ecdfffff,683,18,0.0,ns,IMPACT
8867434ee5fffff,12,0,0.0,ns,IMPACT
8867434ee9fffff,369,10,0.0,ns,IMPACT
8867434eedfffff,279,0,0.0,ns,IMPACT
8867434f13fffff,2,0,0.0,ns,IMPACT
8867434f17fffff,1,0,0.0,ns,IMPACT
8867434f21fffff,224,7,0.0,ns,IMPACT
8867434f23fffff,25,0,0.0,ns,IMPACT
8867434f27fffff,14,0,0.0,ns,IMPACT
8867434f29fffff,190,0,0.0,ns,IMPACT
8867434f31fffff,9,0,0.0,ns,IMPACT
8867434f33fffff,3,0,0.0,ns,IMPACT
8867434f35fffff,2,0,0.0,ns,IMPACT
8867434f37fffff,187,0,0.0,ns,IMPACT
8867434f3dfffff,1,0,0.0,ns,IMPACT
8867434f41fffff,277,7,0.0,ns,IMPACT
8867434f43fffff,218,12,0.0,ns,IMPACT
8867434f47fffff,681,6,0.0,ns,IMPACT
8867434f63fffff,5,0,0.0,ns,IMPACT
88674c5b09fffff,92,0,0.0,ns,IMPACT
88674c5b0bfffff,1,0,0.0,ns,IMPACT
88674c5b0dfffff,72,0,0.0,ns,IMPACT
88674c5b41fffff,537,0,0.0,ns,IMPACT
88674c5b43fffff,259,0,0.0,ns,IMPACT
88674c5b45fffff,62,0,0.0,ns,IMPACT
88674c5b47fffff,229,0,0.0,ns,IMPACT
88674c5b49fffff,1337,13,0.0,ns,IMPACT
88674c5b4bfffff,367,0,0.0,ns,IMPACT
88674c5b4dfffff,159,0,0.0,ns,IMPACT
88674c5b55fffff,42,0,0.0,ns,IMPACT
88674c5b5dfffff,74,0,0.0,ns,IMPACT
88674c5b63fffff,46,0,0.0,ns,IMPACT
88674c5b69fffff,12,0,0.0,ns,IMPACT
88674c5b6bfffff,44,0,0.0,ns,IMPACT
88674cc04dfffff,9,0,0.0,ns,IMPACT
88674cc203fffff,1,0,0.0,ns,IMPACT
88674cc207fffff,10,0,0.0,ns,IMPACT
88674cc215fffff,1,0,0.0,ns,IMPACT
88674cc221fffff,26,0,0.0,ns,IMPACT
88674cc223fffff,29,0,0.0,ns,IMPACT
88674cc225fffff,32,0,0.0,ns,IMPACT
88674cc227fffff,62,0,0.0,ns,IMPACT
88674cc22bfffff,93,0,0.0,ns,IMPACT
88674cc239fffff,28,0,0.0,ns,IMPACT
88674cc23dfffff,64,0,0.0,ns,IMPACT
88674cc31bfffff,44,0,0.0,ns,IMPACT
88674cc31dfffff,3,0,0.0,ns,IMPACT
88674ccb45fffff,18,0,0.0,ns,IMPACT
88674ccb49fffff,6,0,0.0,ns,IMPACT
88674ccb4dfffff,88,7,0.0,ns,IMPACT
88674cd883fffff,56,0,0.0,ns,IMPACT
88674cd895fffff,350,1,1.0,ns,IMPACT
88674cd89dfffff,8,0,0.0,ns,IMPACT
88674cd983fffff,118,1,0.0,ns,IMPACT
88674cd987fffff,253,14,0.0,ns,IMPACT
88674cd995fffff,51,0,0.0,ns,IMPACT
88674cd999fffff,103,0,0.0,ns,IMPACT
88674cd99bfffff,91,0,0.0,ns,IMPACT
88674cd9a1fffff,59,0,0.0,LH,IMPACT
88674cd9a3fffff,72,0,0.0,ns,IMPACT
88674cd9a5fffff,438,181,0.0,ns,IMPACT
88674cd9a7fffff,1282,186,0.0,HH,IMPACT
88674cd9b1fffff,35,0,0.0,ns,IMPACT
88674cd9b9fffff,473,49,0.0,ns,IMPACT
88674cd9bdfffff,158,0,0.0,ns,IMPACT
88674ec003fffff,4,0,0.0,ns,IMPACT
88674ec011fffff,840,0,0.0,ns,IMPACT
88674ec013fffff,1013,17,0.0,LL,IMPACT
88674ec015fffff,440,0,0.0,ns,IMPACT
88674ec017fffff,984,7,0.0,LL,IMPACT
88674ec019fffff,330,0,0.0,ns,IMPACT
88674ec01bfffff,1002,10,0.0,ns,IMPACT
88674ec031fffff,279,24,0.0,ns,IMPACT
88674ec033fffff,1028,0,0.0,ns,IMPACT
88674ec037fffff,60,0,0.0,ns,IMPACT
88674ec039fffff,289,0,0.0,ns,IMPACT
88674ec03bfffff,1730,54,0.0,ns,IMPACT
88674ec081fffff,243,0,0.0,ns,IMPACT
88674ec083fffff,742,5,0.0,ns,IMPACT
88674ec085fffff,205,0,0.0,ns,IMPACT
88674ec087fffff,786,10,0.0,LL,IMPACT
88674ec089fffff,223,0,0.0,ns,IMPACT
88674ec08bfffff,313,8,0.0,ns,IMPACT
88674ec08dfffff,95,0,0.0,ns,IMPACT
88674ec091fffff,908,22,0.0,ns,IMPACT
88674ec093fffff,598,2,0.0,ns,IMPACT
88674ec095fffff,1316,7,0.0,LL,IMPACT
88674ec097fffff,1525,0,0.0,LL,IMPACT
88674ec09bfffff,28,0,0.0,ns,IMPACT
88674ec09dfffff,443,0,0.0,ns,IMPACT
88674ec0a1fffff,897,0,0.0,ns,IMPACT
88674ec0a3fffff,958,3,0.0,ns,IMPACT
88674ec0a5fffff,5,0,0.0,ns,IMPACT
88674ec0a7fffff,47,0,0.0,ns,IMPACT
88674ec0a9fffff,1637,0,0.0,ns,IMPACT
88674ec0abfffff,840,6,0.0,LL,IMPACT
88674ec0adfffff,35,0,0.0,ns,IMPACT
88674ec0b1fffff,212,1,0.0,LL,IMPACT
88674ec0b3fffff,1328,4,0.0,LL,IMPACT
88674ec0b5fffff,837,2,0.0,ns,IMPACT
88674ec0b7fffff,1129,3,0.0,LL,IMPACT
88674ec0b9fffff,1392,0,0.0,LL,IMPACT
88674ec0bbfffff,1179,8,0.0,LL,IMPACT
88674ec0bdfffff,1036,3,0.0,LL,IMPACT
88674ec0c1fffff,222,17,0.0,ns,IMPACT
88674ec0c3fffff,54,0,0.0,ns,IMPACT
88674ec0c5fffff,406,0,0.0,ns,IMPACT
88674ec0c7fffff,39,0,0.0,ns,IMPACT
88674ec0c9fffff,125,0,0.0,ns,IMPACT
88674ec0cbfffff,4,0,0.0,ns,IMPACT
88674ec0cdfffff,875,1,0.0,ns,IMPACT
88674ec0d1fffff,25,0,0.0,ns,IMPACT
