h3,base,pdmg,cems,lisa,product
8867434c6bfffff,52,0,0.0,ns,OSU
8867434c6dfffff,3,0,0.0,ns,OSU
8867434d45fffff,3,0,0.0,ns,OSU
8867434d49fffff,188,0,0.0,ns,OSU
8867434d4bfffff,215,8,0.0,ns,OSU
8867434d4dfffff,178,1,0.0,ns,OSU
8867434d59fffff,1,0,0.0,ns,OSU
8867434d5dfffff,27,0,0.0,ns,OSU
8867434d65fffff,58,0,0.0,ns,OSU
8867434d67fffff,103,0,0.0,ns,OSU
8867434d69fffff,109,0,0.0,ns,OSU
8867434e13fffff,103,30,0.0,ns,OSU
8867434e15fffff,1,0,0.0,ns,OSU
8867434e17fffff,1,0,0.0,LH,OSU
8867434e1bfffff,2,0,0.0,ns,OSU
8867434e31fffff,6,0,0.0,ns,OSU
8867434e33fffff,105,9,0.0,ns,OSU
8867434e35fffff,3,0,0.0,ns,OSU
8867434e37fffff,46,6,0.0,ns,OSU
8867434e3bfffff,1,0,0.0,ns,OSU
8867434ec1fffff,89,1,0.0,ns,OSU
8867434ec5fffff,314,77,0.0,ns,OSU
8867434ec9fffff,129,2,0.0,ns,OSU
8867434ecdfffff,682,30,0.0,ns,OSU
8867434ee5fffff,12,0,0.0,ns,OSU
8867434ee9fffff,369,87,0.0,HH,OSU
8867434eedfffff,279,80,0.0,ns,OSU
8867434f13fffff,2,0,0.0,ns,OSU
8867434f17fffff,1,0,0.0,ns,OSU
8867434f21fffff,224,30,0.0,ns,OSU
8867434f23fffff,25,0,0.0,ns,OSU
8867434f25fffff,16,6,0.0,ns,OSU
8867434f27fffff,236,6,0.0,ns,OSU
8867434f29fffff,190,1,0.0,ns,OSU
8867434f31fffff,9,1,0.0,ns,OSU
8867434f33fffff,3,0,0.0,ns,OSU
8867434f35fffff,2,0,0.0,ns,OSU
8867434f37fffff,187,4,0.0,ns,OSU
8867434f3dfffff,1,0,0.0,ns,OSU
8867434f41fffff,277,0,0.0,ns,OSU
8867434f43fffff,218,0,0.0,ns,OSU
8867434f47fffff,681,21,0.0,ns,OSU
8867434f63fffff,5,0,0.0,ns,OSU
88674358a5fffff,23,0,0.0,ns,OSU
88674358adfffff,25,0,0.0,ns,OSU
8867435933fffff,6,0,0.0,ns,OSU
8867435981fffff,50,0,0.0,ns,OSU
8867435985fffff,115,0,0.0,ns,OSU
8867435987fffff,1,0,0.0,ns,OSU
886743598bfffff,112,0,0.0,ns,OSU
886743598dfffff,398,0,0.0,ns,OSU
8867435993fffff,10,0,0.0,ns,OSU
886743599bfffff,12,0,0.0,ns,OSU
88674359a9fffff,220,0,0.0,ns,OSU
88674359c7fffff,1,0,0.0,ns,OSU
88674359d1fffff,16,0,0.0,ns,OSU
88674359d3fffff,59,0,0.0,ns,OSU
88674359d5fffff,18,0,0.0,ns,OSU
88674359d7fffff,7,0,0.0,ns,OSU
88674359dbfffff,4,0,0.0,ns,OSU
88674359e1fffff,14,0,0.0,ns,OSU
88674359e3fffff,337,0,0.0,ns,OSU
88674359e5fffff,4,0,0.0,ns,OSU
88674359e7fffff,23,0,0.0,ns,OSU
88674359ebfffff,14,0,0.0,ns,OSU
88674359edfffff,230,0,0.0,ns,OSU
88674c5b09fffff,92,0,0.0,ns,OSU
88674c5b0bfffff,1,0,0.0,ns,OSU
88674c5b0dfffff,72,0,0.0,ns,OSU
88674c5b41fffff,535,27,0.0,ns,OSU
88674c5b43fffff,260,0,0.0,ns,OSU
88674c5b45fffff,62,0,0.0,ns,OSU
88674c5b47fffff,230,0,0.0,ns,OSU
88674c5b49fffff,1337,12,0.0,ns,OSU
88674c5b4bfffff,367,5,0.0,ns,OSU
88674c5b4dfffff,157,0,0.0,ns,OSU
88674c5b55fffff,42,0,0.0,ns,OSU
88674c5b5dfffff,74,0,0.0,ns,OSU
88674c5b63fffff,46,2,0.0,ns,OSU
88674c5b69fffff,12,0,0.0,ns,OSU
88674c5b6bfffff,44,0,0.0,ns,OSU
88674cc04dfffff,9,0,0.0,ns,OSU
88674cc203fffff,1,0,0.0,ns,OSU
88674cc207fffff,10,0,0.0,ns,OSU
88674cc215fffff,1,0,0.0,ns,OSU
88674cc221fffff,26,0,0.0,ns,OSU
88674cc223fffff,29,4,0.0,ns,OSU
88674cc225fffff,32,0,0.0,ns,OSU
88674cc227fffff,62,0,0.0,ns,OSU
88674cc22bfffff,93,2,0.0,ns,OSU
88674cc239fffff,28,0,0.0,ns,OSU
88674cc23dfffff,64,1,0.0,ns,OSU
88674cc31bfffff,44,0,0.0,ns,OSU
88674cc31dfffff,3,0,0.0,ns,OSU
88674ccb45fffff,18,0,0.0,ns,OSU
88674ccb49fffff,6,0,0.0,LH,OSU
88674ccb4dfffff,88,6,0.0,HH,OSU
88674cd883fffff,56,0,0.0,ns,OSU
88674cd895fffff,350,10,1.0,ns,OSU
88674cd89dfffff,8,0,0.0,ns,OSU
88674cd983fffff,118,11,0.0,ns,OSU
88674cd987fffff,253,44,0.0,ns,OSU
88674cd995fffff,51,0,0.0,ns,OSU
88674cd999fffff,103,0,0.0,ns,OSU
88674cd99bfffff,91,0,0.0,ns,OSU
88674cd9a1fffff,60,27,0.0,HH,OSU
88674cd9a3fffff,73,26,0.0,HH,OSU
88674cd9a5fffff,438,365,0.0,HH,OSU
88674cd9a7fffff,1280,419,0.0,HH,OSU
88674cd9b1fffff,35,8,0.0,ns,OSU
88674cd9b9fffff,473,58,0.0,ns,OSU
88674cd9bdfffff,158,12,0.0,HH,OSU
88674ec003fffff,4,0,0.0,ns,OSU
88674ec011fffff,842,4,0.0,ns,OSU
88674ec013fffff,1013,28,0.0,ns,OSU
88674ec015fffff,441,1,0.0,ns,OSU
