region,lens,radius,predictor,metric,value,source
core,cells-agreement,9,3-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,3-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,4-of-6,rho,0.656,pipeline/ranking.py
core,cells-agreement,9,4-of-6,top20,0.45,pipeline/ranking.py
core,cells-agreement,9,4-of-6,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,9,4-of-6,rho_frac,0.656,pipeline/ranking.py
core,cells-agreement,9,4-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,4-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,5-of-6,rho,0.592,pipeline/ranking.py
core,cells-agreement,9,5-of-6,top20,0.55,pipeline/ranking.py
core,cells-agreement,9,5-of-6,top20_exp,0.55,pipeline/ranking.py
core,cells-agreement,9,5-of-6,rho_frac,0.583,pipeline/ranking.py
core,cells-agreement,9,5-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,5-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,9,6-of-6,rho,0.515,pipeline/ranking.py
core,cells-agreement,9,6-of-6,top20,0.5,pipeline/ranking.py
core,cells-agreement,9,6-of-6,top20_exp,0.5,pipeline/ranking.py
core,cells-agreement,9,6-of-6,rho_frac,0.536,pipeline/ranking.py
core,cells-agreement,9,6-of-6,cells,594.0,pipeline/ranking.py
core,cells-agreement,9,6-of-6,cells_frac,426.0,pipeline/ranking.py
core,cells-agreement,8,Microsoft,rho,0.616,pipeline/ranking.py
core,cells-agreement,8,Microsoft,top20,0.35,pipeline/ranking.py
core,cells-agreement,8,Microsoft,top20_exp,0.35,pipeline/ranking.py
core,cells-agreement,8,Microsoft,rho_frac,0.443,pipeline/ranking.py
core,cells-agreement,8,Microsoft,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,Microsoft,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,rho,0.718,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,top20,0.45,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,rho_frac,0.687,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,IMPACT v2,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,OSU,rho,0.703,pipeline/ranking.py
core,cells-agreement,8,OSU,top20,0.45,pipeline/ranking.py
core,cells-agreement,8,OSU,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,8,OSU,rho_frac,0.707,pipeline/ranking.py
core,cells-agreement,8,OSU,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,OSU,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,UH,rho,0.477,pipeline/ranking.py
core,cells-agreement,8,UH,top20,0.4,pipeline/ranking.py
core,cells-agreement,8,UH,top20_exp,0.4,pipeline/ranking.py
